SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W,RowID_unlabelled,Pred_Class,Pred_Label,Conf_Max,Prob_poor,Prob_moderate,Prob_enriched
74.16,0.06,14.87,1.04,0.935792,0.14,1.45,5.37,2.12,0.04,0.03,0.7,,298.0,63.0,,2.37,13.2,,,97.7,66.7,5.0,87.68,2.98,5.77,5.05,8.72,17.0,1.96,7.21,2.08,0.33,1.74,0.31,1.2,0.17,0.38,0.06,0.33,0.04,"Zhang et al., 2020",,,100.915792,4.678693375173447,-2.3418850504354816,3.221904213154193,0.7807097291579282,0.7723689030616326,-1.160110607047481,1.1881348251798554,2.918964079554088,2.6951740940218945,-1.0510429023280772,-2.227303596279792,4.4677661169415295,0.1795454545454545,4.73015873015873,26.424242424242426,51.51515151515152,,5,1,moderate,0.9350632,0.04076033,0.9350632,0.024176508
73.2,0.09,14.8,0.39,0.48,0.17,0.88,3.87,4.59,0.1,0.02,0.81,,450.0,18.7,12.9,0.95,8.7,13.9,1.76,149.0,52.0,6.47,44.4,2.1,8.21,2.08,9.57,20.9,2.5,9.18,2.87,0.27,2.65,0.34,1.47,0.2,0.47,0.06,0.33,0.05,"Gao et al., 2017",,,99.4,4.70549578026679,-1.8736036385056043,3.3072372222014312,-0.1592067807937745,0.0414522969955189,-1.0732898298440636,0.5311133713982253,2.306384966293611,3.1745515645094318,-0.1969496507040462,-2.6172157251140997,8.653846153846153,0.1091954022988505,24.06417112299465,29.0,63.33333333333333,7.897727272727272,15,0,poor,0.95777774,0.95777774,0.024369689,0.017852573
74.16,0.03,14.65,0.8779728828628585,0.79,0.15,0.76,4.41,3.87,0.04,0.08,0.61,,408.0,15.6,11.4,1.77,11.6,9.88,1.09,6.05,9.57,29.7,61.3,3.54,4.94,3.63,6.06,12.9,1.47,5.3,2.38,0.08,3.17,0.75,4.93,0.94,3.33,0.49,3.31,0.53,"Gao et al., 2017",,,100.42797288286286,4.711392786172976,-3.033043536447799,3.1727293408206,0.5619064331215908,0.5242692856244642,-1.1891405362069207,0.3705502609252761,2.4196815907815084,2.972968306446972,-1.3952810758578849,-1.436439570756674,42.63322884012539,0.1525862068965517,26.153846153846157,1.8308157099697884,3.897280966767372,9.064220183486238,19,0,poor,0.9638026,0.9638026,0.019114947,0.017082438
73.27,0.06,15.01,0.7668370749055344,0.69,0.12,1.0,3.89,4.53,0.16,0.03,0.62,,402.0,24.0,8.14,1.0,6.82,6.36,0.77,74.7,56.2,26.7,59.8,3.64,10.4,13.1,16.6,35.4,4.13,14.7,5.32,0.5,6.96,1.01,5.29,0.88,2.31,0.3,1.96,0.31,"Gao et al., 2017",,,100.14683707490552,4.616992908438881,-2.396811550151495,3.171058463232183,0.3907382425781138,0.3301828008203394,-1.5080895235810992,0.538236744952427,2.1779503018348394,2.9875974005123296,0.1304070660869218,-2.1414885113214632,7.153024911032028,0.1466275659824046,16.75,8.469387755102042,18.06122448979592,8.25974025974026,20,0,poor,0.9654065,0.9654065,0.017398242,0.017195292
73.31,0.08,15.19,0.21,0.7,0.23,1.0,3.93,4.54,0.11,0.02,0.74,,353.0,14.9,7.72,0.88,8.88,10.3,1.9,105.0,67.3,8.23,46.5,2.02,8.41,2.56,10.8,22.2,2.87,10.3,3.38,0.43,2.98,0.46,1.92,0.26,0.66,0.07,0.42,0.06,"Gao et al., 2017",,,100.06,4.69771131084691,-2.0072378833082816,3.3110703171171765,-0.8390993986679937,0.3356517815920135,-0.8146012149789066,0.6461002062041207,2.321493310431835,3.1636439299791586,-0.0822300761866078,-2.553304542338705,5.24517087667162,0.099099099099099,23.69127516778524,25.714285714285715,52.85714285714285,5.421052631578948,21,0,poor,0.96288323,0.96288323,0.019820873,0.017295877
71.01,0.02,16.94,0.7779506557012669,0.7,0.07,0.77,4.98,4.8,0.12,0.03,0.58,,516.3,24.88,,2.66,14.73,,,70.05,30.01,10.97,37.26,2.23,6.29,4.32,7.53,15.79,1.84,6.47,2.39,0.23,2.3,0.42,2.03,0.33,0.81,0.11,0.71,0.1,Xie et al 2018..,,,100.79795065570129,4.7435524016404695,-3.3775471172777034,3.372357666161062,0.502760592837822,0.4572042065638371,-1.959142210483772,0.3086743381613152,2.465187187091047,3.1400338590444976,-0.077257722836392,-2.0943305881668004,17.204265244918357,0.1805838424983027,20.7516077170418,10.605633802816902,22.239436619718308,,23,0,poor,0.94352317,0.94352317,0.034083568,0.022393249
73.89,0.03,14.94,0.8890864636585908,0.8,0.08,0.58,4.17,4.15,0.06,0.04,0.64,,522.3,25.0,,2.68,14.85,,,71.49,30.11,11.3,37.59,2.22,6.09,4.04,6.99,14.66,1.73,6.16,2.26,0.23,2.21,0.41,2.06,0.33,0.82,0.12,0.74,0.1,Xie et al 2018..,,,100.2690864636586,4.801895379596574,-2.9300774657378086,3.307224773095779,0.7048278155526682,0.6863269006014012,-1.6945741123236913,0.1650312525217576,2.407603338002255,3.102651088529651,-0.80084373155797,-1.9605162869370945,17.346396545998005,0.1804713804713804,20.892,9.445945945945946,19.81081081081081,,24,0,poor,0.9468952,0.9468952,0.031158611,0.021946155
71.55,0.07,15.86,1.011335852411647,0.91,0.15,0.94,4.17,4.96,0.24,0.02,0.62,,365.7,32.09,,0.79,9.27,,,144.9,66.81,5.45,27.5,1.16,4.13,2.45,5.81,11.95,1.39,5.13,1.52,0.45,1.42,0.22,1.16,0.18,0.41,0.05,0.32,0.05,Xie et al 2018..,,,100.50133585241164,4.499882057021799,-2.3385112795234875,3.131085935352245,0.581163534934875,0.5461047866400934,-1.3166691150333751,0.4525058047933205,2.219841629237372,3.0661318760995484,0.6269983777706318,-2.4281956387992825,5.473731477323754,0.0852211434735706,11.39607354315986,18.15625,37.34375,,25,0,poor,0.95706326,0.95706326,0.023129676,0.019807043
74.62,0.06,14.73,0.922427206045788,0.83,0.15,0.68,3.86,4.5,0.07,0.02,0.54,,354.9,31.17,,0.78,9.09,,,144.1,66.02,6.1,26.96,1.15,3.25,2.68,4.62,9.43,1.11,4.07,1.26,0.43,1.35,0.21,1.19,0.2,0.47,0.06,0.39,0.06,Xie et al 2018..,,,100.98242720604578,4.738620286947003,-2.2827238708757838,3.2773381379433597,0.7254753082412735,0.7097389566804315,-1.028328880464053,0.4389835993652909,2.478918492297149,3.377412868314,-0.3226430857047062,-2.33050859763628,5.375643744319903,0.0858085808580858,11.385948026948988,11.846153846153848,24.17948717948718,,26,0,poor,0.9601286,0.9601286,0.020679358,0.019192044
74.61,0.05,15.26,1.8226272505001109,1.64,0.25,0.66,2.84,2.4,0.05,0.01,1.85,,200.0,9.89,9.13,1.19,9.63,14.8,3.43,103.0,94.0,14.7,28.6,1.76,4.36,8.07,9.05,17.9,2.09,8.31,2.66,0.71,3.01,0.57,2.82,0.5,1.5,0.17,1.09,0.16,"Gao et al., 2019",,,101.44262725050012,4.654731712343979,-2.5656990993721607,3.19394194930293,1.3170794386842035,1.3805549868592648,-0.4375744723947251,0.5456899246090147,2.299899733659009,2.77478091015275,-0.8171007884833948,-3.691349004119578,2.127659574468085,0.1235721703011422,20.222446916076844,8.302752293577981,16.42201834862385,4.314868804664723,28,0,poor,0.96554816,0.96554816,0.017715387,0.016736465
73.36,0.09,16.73,1.389197599466548,1.25,0.28,0.66,2.23,2.99,0.07,0.04,1.95,,290.0,10.8,8.6,1.29,18.4,16.2,2.79,100.0,77.2,24.3,46.8,2.86,6.01,4.52,9.18,20.3,2.39,8.58,3.45,0.55,5.07,0.88,4.73,0.8,2.33,0.28,1.93,0.25,"Gao et al., 2019",,,101.03919759946656,4.464182491152303,-2.140239078813915,3.1416674528956854,0.8730623380877596,0.8770869185572052,-0.6032099225209474,0.2255620623276449,1.6374813998049675,2.452620504637029,-1.1298163749110175,-2.7483156015855497,3.756476683937824,0.0701086956521739,26.85185185185185,4.756476683937824,10.518134715025909,5.806451612903225,29,0,poor,0.9495163,0.9495163,0.027784918,0.022698833
75.63,0.05,15.56,1.100244498777506,0.99,0.15,0.75,3.16,2.01,0.08,0.05,1.36,,170.0,11.5,26.6,4.15,21.0,19.6,1.77,91.4,91.7,15.9,28.5,2.58,7.0,5.53,8.71,19.3,2.08,7.57,2.98,0.67,3.54,0.66,3.2,0.47,1.38,0.18,1.16,0.17,"Gao et al., 2019",,,100.89024449877748,4.639169663367366,-2.596987703421554,3.179872689406198,0.7453354811083888,0.7322582759952072,-1.1927291536780693,0.3517947325306937,2.038875762765008,2.109747691115756,-0.9647763260789723,-2.335727121552313,1.8538713195201744,0.1976190476190476,14.782608695652174,7.508620689655173,16.63793103448276,11.073446327683616,30,0,poor,0.9449888,0.9449888,0.02910354,0.025907611
75.42,0.03,15.51,0.24,0.56,0.14,0.61,2.44,2.48,0.02,0.13,1.72,,290.0,8.1,36.8,5.85,24.0,23.6,1.66,53.0,57.0,9.84,26.8,2.26,4.89,1.91,4.76,10.2,1.29,4.32,2.29,0.12,1.96,0.33,1.72,0.26,0.7,0.12,0.84,0.12,"Gao et al., 2019",,,99.3,4.908631063234985,-2.834649710433891,3.452192300077811,-0.5618010785718991,0.268776967951966,-1.187012138082422,0.2078025304924023,1.8044292976271223,2.3482842385778344,-2.5826397076344367,-1.826135166613962,5.087719298245614,0.24375,35.80246913580247,5.666666666666667,12.142857142857142,14.21686746987952,31,0,poor,0.9565986,0.9565986,0.022290654,0.02111077
