SiO2,TiO2,Al2O3,Fe2O3,FeO,MgO,CaO,Na2O,K2O,P2O5,MnO,LOI,Li,Rb,Cs,Be,Ta,Nb,Sn,W,Ba,Sr,Y,Zr,Hf,Th,U,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Source_Sheet,Li_Class,Li_Label,Total_Majors,ilr_SiO2_vs_rest,ilr_TiO2_vs_rest,ilr_Al2O3_vs_rest,ilr_Fe2O3_vs_rest,ilr_FeO_vs_rest,ilr_MgO_vs_rest,ilr_CaO_vs_rest,ilr_Na2O_vs_rest,ilr_K2O_vs_rest,ilr_P2O5_vs_rest,ilr_MnO_vs_rest,Rb_Sr,Ta_Nb,Rb_Cs,La_Yb,Ce_Yb,Sn_W
70.38,0.38,16.32,1.88,1.691624,0.41,2.14,4.39,4.54,0.15,0.04,0.34,,173.0,,,,6.0,,,2225.0,787.0,4.0,296.0,,,7.4,49.5,76.8,9.8,33.5,5.25,1.24,3.74,0.37,1.33,0.22,0.54,0.06,0.35,0.04,Sita Bora et al 2025,,,102.66162400000002,4.103408454174696,-0.9812894789152556,2.878505707127632,0.926053760168783,0.937173543319796,-0.44869027292901303,1.2792203426984816,2.3700521348354386,3.09851952967579,0.20553077143990778,-1.5132552963960921,0.21982210927573062,,,141.42857142857144,219.42857142857144,
72.12,0.23,15.61,1.52,1.367696,0.43,3.11,5.04,2.37,0.09,0.03,0.45,,51.0,,,,3.0,,,916.0,837.0,10.0,213.0,,,0.0,10.5,16.1,1.8,6.4,1.09,0.49,0.92,0.11,0.5,0.1,0.27,0.04,0.25,0.03,Sita Bora et al 2025,,,102.36769600000001,4.264348500809316,-1.3572012534057174,2.945285351822404,0.8224379732217527,0.8196842843931839,-0.30331841289097283,1.8085486274356324,2.754778857204231,2.6851640341563283,-0.20854368762760236,-1.9148806609929663,0.06093189964157706,,,42.0,64.4,
72.09,0.19,15.69,1.05,0.9447900000000001,0.33,2.11,3.01,6.16,0.12,0.02,0.5,,133.0,,,,1.0,,,2238.0,472.0,14.0,132.0,,,0.0,50.1,95.0,10.8,38.0,6.42,1.81,4.29,0.35,1.02,0.14,0.37,0.03,0.2,0.03,Sita Bora et al 2025,,,102.21479,4.364141660986754,-1.4478273790598448,3.051872646788672,0.5438246831373669,0.5037665083128486,-0.5544500229145771,1.3764006064787166,2.0829235411039217,3.5159661603460575,0.14886492775168414,-2.2760889235617467,0.2817796610169492,,,250.5,475.0,
71.46,0.21,15.84,1.2,1.07976,0.35,2.71,3.83,4.67,0.11,0.01,0.53,,102.0,,,,1.0,,,1859.0,490.0,14.0,158.0,,,0.0,49.5,94.0,10.7,37.2,6.32,1.75,4.14,0.34,0.88,0.12,0.31,0.03,0.14,0.02,Sita Bora et al 2025,,,101.99975999999998,4.362015131470738,-1.335982553746069,3.0800540257066182,0.70687186222136,0.6886446316672157,-0.42164653892333276,1.7432261170124281,2.52175327990543,3.4845399840201243,0.3370084053124733,-2.8074203353628198,0.20816326530612245,,,353.57142857142856,671.4285714285713,
74.42,0.02,14.83,0.3,0.26994,0.09,0.34,4.26,4.94,0.03,0.03,0.73,,568.0,50.0,,1.55,11.5,,,10.5,17.5,7.14,98.32,3.52,2.64,10.9,1.99,4.01,0.47,1.82,0.86,0.08,0.92,0.24,1.34,0.24,0.63,0.1,0.61,0.07,"Zhang et al., 2020",,,100.25994,5.1269193248444545,-3.0067830354598533,3.642031557380504,-0.06532247137577928,-0.1869414414090464,-1.4022582240905481,-0.20317882541301008,2.5776358244471194,3.498720268515332,-1.303066143422024,-2.2569767660297795,32.457142857142856,0.13478260869565217,11.36,3.262295081967213,6.573770491803279,
74.16,0.06,14.87,1.04,0.9357920000000001,0.14,1.45,5.37,2.12,0.04,0.03,0.7,,298.0,63.0,,2.37,13.2,,,97.7,66.7,5.0,87.68,2.98,5.77,5.05,8.72,17.0,1.96,7.21,2.08,0.33,1.74,0.31,1.2,0.17,0.38,0.06,0.33,0.04,"Zhang et al., 2020",,,100.91579200000001,4.678693375173447,-2.3418850504354816,3.221904213154193,0.7807097291579282,0.7723689030616326,-1.160110607047481,1.1881348251798554,2.9189640795540877,2.6951740940218945,-1.0510429023280772,-2.2273035962797914,4.4677661169415295,0.17954545454545456,4.73015873015873,26.424242424242426,51.515151515151516,
74.38,0.02,14.58,0.44,0.39591200000000004,0.08,0.49,4.12,5.36,0.02,0.03,0.43,,581.0,61.9,,0.37,2.5,,,47.7,29.2,5.77,110.33,3.01,3.05,1.49,2.48,4.72,0.51,1.86,0.59,0.16,0.58,0.15,0.92,0.16,0.46,0.09,0.65,0.08,"Zhang et al., 2020",,,100.345912,5.1168200351371675,-3.0172823772963695,3.612503017935365,0.3259209851622216,0.2566869391970356,-1.4308994256862875,0.29229842249031124,2.738512374095934,3.839218468700122,-1.4180578030488395,-1.882733907994452,19.897260273972602,0.148,9.38610662358643,3.815384615384615,7.261538461538461,
69.81,0.02,16.18,0.19,0.170962,0.05,0.15,2.18,10.78,0.05,0.02,0.52,,971.0,89.0,,1.27,6.12,,,213.0,63.1,4.03,105.52,2.04,2.27,4.34,3.61,7.05,0.83,3.16,0.98,0.44,0.93,0.2,0.95,0.14,0.31,0.05,0.27,0.04,"Zhang et al., 2020",,,100.12096199999999,5.270754492934532,-2.782150844556256,3.9822082902767346,-0.26186746492293583,-0.40980251613500523,-1.8011227258635343,-0.9276476841607038,1.8562245807468345,4.242011659997739,-0.5819640921024892,-2.303822155795404,15.388272583201267,0.20751633986928106,10.910112359550562,13.370370370370368,26.111111111111107,
69.74,0.02,17.14,0.55,0.49489000000000005,0.1,0.85,4.62,6.17,0.1,0.07,0.63,,627.0,62.5,,2.07,9.93,,,68.4,36.0,21.6,107.68,3.85,4.44,10.1,5.86,12.2,1.41,5.4,2.11,0.25,2.2,0.58,3.58,0.7,1.94,0.39,2.57,0.35,"Zhang et al., 2020",,,100.48488999999998,4.66556582957414,-3.444049618515464,3.311208505111117,0.054166126733920794,-0.05145410636361455,-1.7867100568919152,0.2302611754330878,2.1747461771836027,3.141644880080256,-0.6057893052341319,-1.5536723984241865,17.416666666666668,0.20845921450151056,10.032,2.2801556420233466,4.747081712062257,
73.64,0.07,14.69,0.49,0.27,0.17,0.7,3.85,4.56,0.05,0.02,0.84,,447.0,31.9,18.3,2.04,8.96,17.3,1.95,113.0,40.0,1.33,37.2,2.04,4.54,1.87,5.18,10.3,1.25,4.4,1.31,0.04,0.87,0.09,0.33,,0.1,,0.11,,"Gao et al., 2017",,,99.34999999999998,4.842073825090901,-1.9938561262107342,3.4313380309949904,0.22955972951578982,-0.37683682232410337,-0.934824196073755,0.4442647360902813,2.45007726644581,3.3584686101199006,-0.7777489822718934,-2.6429315329231047,11.175,0.22767857142857142,14.01253918495298,47.090909090909086,93.63636363636364,8.871794871794872
